energy phi_0 phi_1 phi_2 phi_3 phi_4 phi_5 phi_6 phi_7 phi_8 phi_9 phi_10 phi_11 phi_12 phi_13 phi_14 phi_15 phi_16 phi_17
-1.4170299408083900368e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.072742354398301647e-18 0.0 0.0
-1.4170334016926400175e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.6356795859679581278e-23 0.0 0.0 0.0 -2.072742354398301647e-18 0.0 0.0
-0.0001069288087531570044 3.398972394064278654e-20 -8.469317069577037459e-20 1.699486197032139026e-20 1.1681331925009991349e-20 -3.398972394064278654e-20 -8.469317069577037459e-20 8.9339698093859505815e-18 3.398972394064278654e-20 0.0 0.0 5.0717503712919439604e-20 -1.0168803266609179795e-19 -1.3733085484305369132e-18 0.0 -1.699486197032139026e-20 0.0022540070471481960836 -0.042437924006018055978 -1.699486197032139026e-20
-8.0120286698571204834e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-7.9628225671764002996e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.6356795859679581278e-23 0.0 0.0 0.0 -2.6356795859679581278e-23 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
4.6091048914937097836e-21 3.398972394064278654e-20 -8.4707227653562226144e-20 1.699486197032139026e-20 -4.567105586565277187e-20 -3.398972394064278654e-20 -8.4707227653562226144e-20 8.9339698093859505815e-18 3.398972394064278654e-20 0.0 0.0 5.0717503712919439604e-20 -1.0170208962388360136e-19 -1.3733085484305369132e-18 0.0 -1.699486197032139026e-20 -0.0022540070471481947825 0.042437924006017840872 -1.699486197032139026e-20
0.00018629505620992856184 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-1.4170299408083900368e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-1.4170334016926400175e-05 3.398972394064278654e-20 -8.4707227653562226144e-20 1.699486197032139026e-20 -4.567105586565277187e-20 -3.3722641742598034297e-20 -8.4707227653562226144e-20 8.934236891583995653e-18 3.398972394064278654e-20 0.0 0.0 5.098458591096417981e-20 -1.0170208962388360136e-19 -1.3730414662324920346e-18 0.0 -1.6727779772276638018e-20 -0.0022540070471481947825 0.042437924006017840872 -1.6727779772276638018e-20
-0.0001069288087531570044 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-8.0120286698571204834e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.6356795859679581278e-23 0.0 0.0 0.0 -2.072742354398301647e-18 0.0 0.0
-7.9628225671764002996e-11 3.398972394064278654e-20 -8.4707227653562226144e-20 1.699486197032139026e-20 1.1948414123054743591e-20 -3.3722641742598034297e-20 -8.4707227653562226144e-20 8.934236891583995653e-18 3.398972394064278654e-20 0.0 0.0 5.098458591096417981e-20 -1.0170208962388360136e-19 -1.3730414662324920346e-18 0.0 -1.6727779772276638018e-20 0.0022540070471481960836 -0.042437924006018055978 -1.6727779772276638018e-20
4.6091048914937097836e-21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
0.00018629505620992856184 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.6356795859679581278e-23 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-1.7102019440892397611e-05 3.3722641742598034297e-20 -8.496025289381513285e-20 1.6727779772276638018e-20 1.169538888280181883e-20 -3.3975666982850959058e-20 -8.496025289381513285e-20 8.9339698093859505815e-18 3.3722641742598034297e-20 0.0 0.0 5.0717503712919439604e-20 -1.01955114864136544175e-19 -1.3733085484305369132e-18 0.0 -1.6980805012529565788e-20 0.0022540070471480711835 -0.0424379240060108881 -1.6980805012529565788e-20
-0.00012112310840620000413 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-0.00012109291296936200129 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-1.1462928912988470329e-05 3.3708584784806206816e-20 -8.497430985160697237e-20 1.6980805012529565788e-20 -4.593813806369753615e-20 -3.398972394064278654e-20 -8.497430985160697237e-20 8.9339557524281585734e-18 3.3708584784806206816e-20 0.0 0.0 5.0703446755127600086e-20 -1.0170208962388360136e-19 -1.3733226053883285361e-18 0.0 -1.699486197032139026e-20 -0.002254007047148085495 0.042437924006011734646 -1.699486197032139026e-20
-5.021212538343029218e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727405972785778385e-18 0.0 0.0
-4.8824787254359198242e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0727159976024425949e-18 0.0 0.0
